code,Pages,Base CER,Fine-tuned CER,CER Improvement,Base WER,Fine-tuned WER,Base Char Accuracy,Fine-tuned Char Accuracy,p-value,Significance
amu,312,1.0389,0.2139,79.4%,0.857,0.4003,0.5475,0.7903,0.0,***
lac,218,0.2011,0.1373,31.7%,0.4191,0.3281,0.8178,0.8627,0.00187,**
chz,184,0.4395,0.2672,39.2%,0.7536,0.6343,0.6211,0.7328,6e-05,***
maj,52,2.6131,0.2789,89.3%,1.2654,0.3337,0.3171,0.7247,1e-05,***
zae,46,1.4471,0.3078,78.7%,1.0276,0.5992,0.4507,0.6922,1e-05,***
vmp,33,0.1308,0.0728,44.3%,0.335,0.2811,0.8692,0.9272,0.0,***
zad,22,0.5573,0.5152,7.6%,0.7813,0.7131,0.6337,0.6723,0.06089,ns
xtn,20,1.1812,0.2456,79.2%,0.7961,0.3975,0.4606,0.7544,0.01101,*
poi,15,0.1559,0.0801,48.6%,0.5742,0.236,0.8441,0.9199,0.0,***
meh,13,0.4038,0.2359,41.6%,0.6083,0.2739,0.6836,0.7677,0.15755,ns
vmz,12,0.1922,0.3525,-83.4%,0.2744,0.3489,0.8078,0.783,0.34247,ns
ztg,10,0.2458,0.0749,69.5%,0.4994,0.2529,0.7542,0.9251,0.00186,**
zca,7,0.2539,0.1826,28.1%,0.4403,0.1319,0.7461,0.8174,0.00181,**
mxb,7,0.2717,0.2731,-0.5%,0.4706,0.5243,0.7283,0.7269,0.88659,ns
zpf,6,0.7919,0.7526,5.0%,0.4295,0.2596,0.2725,0.3042,1e-05,***
mim,5,0.6017,0.1092,81.9%,0.4328,0.1703,0.5719,0.8908,0.1757,ns
zpc,4,1.465,0.1784,87.8%,1.2348,0.4672,0.4288,0.8216,0.23617,ns
cuc,4,0.4236,0.423,0.1%,0.8218,0.6736,0.5764,0.577,0.98474,ns
cle,3,0.8594,0.0971,88.7%,0.7045,0.2619,0.5834,0.9029,0.38902,ns
maa,3,1.4269,0.2046,85.7%,0.9245,0.3769,0.1063,0.7954,0.17,ns
jmx,3,0.3156,0.2556,19.0%,0.5993,0.554,0.6844,0.7444,0.38097,ns
ote,3,0.0701,0.0654,6.8%,0.1956,0.2017,0.9299,0.9346,0.32438,ns
mix,3,1.4943,0.5376,64.0%,0.9199,0.5294,0.3653,0.4624,0.3894,ns
