pdf_hash,Pages,Base CER,Fine-tuned CER,CER Improvement,Base WER,Fine-tuned WER,Base Char Accuracy,Fine-tuned Char Accuracy,name,code,language,superlanguage,family,collection,source
3d6086b073801b95457ebabb27f9f2ba5e0f38b235a40da5a6e7f60de323a800,275,0.7022,0.1837,73.8%,0.6758,0.3796,0.6023,0.8189,amu gramatica,amu,amuzgo del norte,Amuzgo,Otomangue,grammar,ilv
3a3e77f8a79843aa55911057ef3fbaba2de29e9af27862df6ac4975d559b9587,218,0.2011,0.1373,31.7%,0.4191,0.3281,0.8178,0.8627,lac diccionario,lac,lacandón,Lacandón,Mayense,dictionary,ilv
3821017ab17355121413db91daaa90205ba9dab101b9e7e628a0d1b2e1694337,184,0.4395,0.2672,39.2%,0.7536,0.6343,0.6211,0.7328,chz Diccionario chinanteco Ayotzintepec,chz,chinanteco del sureste alto,Chinanteco,Otomangue,dictionary,ilv
2f22b175f84dfa923dbbacc5820da738234287990e6a46deaee8be21bcbab89b,52,2.6131,0.2789,89.3%,1.2654,0.3337,0.3171,0.7247,maj Tinchiyai,maj,mazateco del este bajo,Mazateco,Otomangue,,ilv
095c6bea3354801cbd4d777dac8c0c759397e2c158fd5961724d296c8459651f,46,1.4471,0.3078,78.7%,1.0276,0.5992,0.4507,0.6922,zae gramatica,zae,"zapoteco serrano, del oeste medio",Zapoteco,Otomangue,grammar,ilv
34245b2168a386da615771e7dea7043f3fb896ee315dc83feb11a6e05f8962ce,37,3.5421,0.4384,87.6%,2.2038,0.5546,0.1407,0.5782,amu ljo machee tito,amu,amuzgo del norte,Amuzgo,Otomangue,,ilv
6fe4c85920beb3431e0032dcf1d9093be2c7fa6461fa2dfc474604f255558e35,33,0.1308,0.0728,44.3%,0.335,0.2811,0.8692,0.9272,vmp const cdmx,vmp,mazateco del noreste,Mazateco,Otomangue,,books
27bfbeb48121e0492142a7d406ac7f5408ebb98ccb8244c7f791629b3e030655,19,1.2372,0.252,79.6%,0.8232,0.4008,0.4384,0.748,xtn Como escribimos vol2,xtn,mixteco del norte bajo,Mixteco,Otomangue,,ilv
36455bcc9617625ddc3ab05125ac27119c3f2c1a169f6caf83ec8c6e62aa4505,14,0.7247,0.6656,8.2%,0.9248,0.8327,0.5755,0.6289,zad Adivinanzas,zad,,,,,ilv
68668118d10d08c71263b6e6349863b0b7b0579508152b81b00c296679dd2a8e,12,0.1241,0.0316,74.6%,0.6203,0.2162,0.8759,0.9684,poi,poi,popoluca de la Sierra,Popoluca,Mixe-Zoqueano,legal,government
e4553310cc432185560016a850dd8295d1a937c00a74f3525ed7ff70f4a9866d,12,0.1922,0.3525,-83.4%,0.2744,0.3489,0.8078,0.783,vmz Tiempo,vmz,mazateco del suroeste,Mazateco,Otomangue,,ilv
de6b84e9223cef4cc2874574f26d5bb6ff56987155339fbd6da1ff4ec1825aee,8,0.2644,0.2519,4.7%,0.5303,0.5036,0.7356,0.7481,zad Mi peque%C3%B1o diccionario ilustrado,zad,,,,dictionary,ilv
ed3d5f294fc37effcb1f4b787adb048da75dc4144970cb02e47f39612ce01419,7,0.6117,0.4138,32.4%,0.7759,0.4238,0.5506,0.5929,meh palabras pronuncian aire saliendo nariz leer,meh,mixteco del suroeste,Mixteco,Otomangue,writing_rules,ilv
e77b53788fcb5df4d42f96cd3e109e442437f6cc36a469f093a5e5bd4713ad7b,7,0.2717,0.2731,-0.5%,0.4706,0.5243,0.7283,0.7269,mxb gramatica,mxb,mixteco del noroeste medio,Mixteco,Otomangue,grammar,ilv
cfc885bd45a69539d18b87c844c1d9decac0d2751b1121869e1a6e08c9840219,6,0.7919,0.7526,5.0%,0.4295,0.2596,0.2725,0.3042,zpf como mueve tierra,zpf,"zapoteco de Sierra sur, del noreste alto",Zapoteco,Otomangue,,ilv
7271ff9181682598d74722878963057defa58110a290b9e469fb75483f1f2036,5,0.1739,0.028,83.9%,0.4416,0.0841,0.8261,0.972,meh gato,meh,mixteco del suroeste,Mixteco,Otomangue,,ilv
46732de90223332b917dd9ab6a72ee503d8a339b14f9f3b63022100f4d7915bc,5,0.6017,0.1092,81.9%,0.4328,0.1703,0.5719,0.8908,mim convOrt,mim,mixteco central de Guerrero,Mixteco,Otomangue,writing_rules,ilv
19185af8e6fa6426bd1f3bb3274b92c76b4510d962fe3e977f6555130ad0970b,4,0.1042,0.0098,90.6%,0.4283,0.0292,0.8958,0.9902,zca para gente coatecas altas,zca,zapoteco de Valles del sur,Zapoteco,Otomangue,,ilv
